Utterance-LEV,Response-LEV,Utterance-EGY,Response-EGY,Utterance-GUL,Response-GUL
لازم روح ما تواخذني عندي موعد عند الحكيم,ماشي ما تعطل هم الله معك,لازم اروح لا مؤأخذة عندي معاد عند الدكتور,ماشي متشلش هم الله معاك,هلا! كيف كان أول يوم لك في الصف؟ انا في المستوى الثاني وحبيت الصف في الفصل الدراسي ذا! حاجة حلوة تكون طالب في صف طلاب عالميين!,حقي كان كويس. هذا باستثناء أنو مافي أحد في فصلي يتكلم إنجليزي. يعني هضطر اتواصل بالصيني أكثر فعشان كذا لازم أحسن نفسي أكثر خلال الفصل الدراسي ذا.
كيف كان أول يوم جامعة ؟,منيح حلو تعرفت على ناس جداد,ايه اخبار اول يوم جامعة ؟,كويس حلو اتعرفت على ناس جداد,"أنا جيعان، وأنت؟","يب، نفسي في أكل صيني الحين."
جوعان كتير شو بدنا ناكول ؟,شو رأيك نجيب شاورما ؟,جعان اوي حناكل ايه ؟,ايه رأيك نجيب شاورما ؟,صباح الخير يا آنسة ليلى.,صباح الخير يا مجاهد.
صباح الخير يا حلوة,صباح النور اهلين فيك,صباح الخير يا حلوة,صباح النور اهلن فيك,تحب الأزهار؟,أكيد أحبهم.
بتحبي الورود ؟,طبعا في حدا ما بحب الورد يعني ؟,بتحبي الورود ؟,طبعا في حد مابيحبش الورد يعني ؟,كيف الجو اليوم؟,تساقط الثلج وقف. بس في هوا خفيف.
كيف الطقس برا ؟,منيح اجمالا بس يمكن تشتي شوي,ايه اخبار الجو برا ؟,كويس اجمالا بس ممكن تمطر شوية,إيش نوع الموسيقى اللي تحب تسمعه؟,"أحب الموسيقة السريعة الإيقاع والمليئة بالحياة. زي ما أنت عارف، أحب أروح الديسكو  كل أسبوع. بس مرات يكون صاخب أكثر من اللازم. أنت تحب الموسيقى الكلاسيكية، صح؟"
ما عم يسكت الصبي شو بدي اعمل,بكون جوعان عمليلو بيبروني,مش بيسكت الولد اعمل ايه,يكون جعان اعمليله بيبرونة,في كافيه جديد هيفتح في آخر الشارع.,أتمنى يكون عندهم منيو كويس. أغلب محلات الكافيه عندها بس قهوة و معجنات ديناماركية.
الموسيقى الكلاسيكية بتروق الأعصاب,لا بالعكس بتزهقني كتير,الموسيقى الكلاسيكية بتروق الأعصاب,لا بالعكس بتزهقني جدا,"حبيبي، عند أخبار ليك. باسم وزوجته، إيمان. هيجيهم مولود قريب.",من جد؟ كنت أحسب زوجته ما تقدر تحمل.
في كافيه جديدة فتحت بالبلد,سمعت عنها شكلو شي مرتب,في كافيه جديدة فتح في البلد,سمعت عنه شكلو حاجة نضيفة,أنا عضو منتظم للنادي ذا.,لازم تدفع عشان تنضم؟
لحسير خال عن قريب,مبروك شو هالخبر الحلو,حبقى خال قريب,مبروك ايه الخبر الحلو ده,الحفلة الموسيقية كانت حلوة.,أتفق.
بتجي لهون كتير انت ؟,لا بس احيانا لما كون زهقان,انت بتيجي هتا كتير ؟,لا بس احيانا لما بكون زهقان,عندي تذاكر للأوبرا يوم الجمعة. تحب تجي؟,مشكور. ودي أروح. متى هيكون الموعد؟
كانت حلوة كتير هالحفلة,اي والله انبسطنا,كانت حلوة اوي الحفلة,اه ولله انبسطنا,الفريق الصيني متصدر؟,"لا، الفريق الياباني هو اللي متصدر."
مين ربح السبق ؟,متل العادي فريق الميرسيديس,مين كسب السبق,ذي العادي فريق الميرسيديس,عندك مانع اسئل صاحبك نطلع؟,"طبعاً أكيد، بس احنا مو طالعين. احنا أصحاب بس."
فيك تحكيلي مع رفيقتك عبالي اعزمها عالغدا,اي ما في مشكلة بس شوفا بحكيلها عنك,ممكن تكلملي صاحبتك عايز اعزمها عالغدا,اه مفيش مشكلة اول ماشوفها هحكيلها عنك,هاني مرَّة محبط لدرجة أنه ما يكلم أحد.,أنا فاهم شعوره.
ليش ما عم بترد عليي ؟,تركني هلق معصب ما طايق حالي,ليه مابتردش عليا,سبني دلوقتي متعصب مش طايق نفسي,"هلا، هذاك داود؟","هلا جمانة، داود هنا."
عورت اجري من يومين ؟,كيف عورتها ؟ كيف صارت هلق ؟,عورت رجلي من يومين,عورتها اذاي ؟ بقت عاملة ايه دلوقتي ؟,هذي الكفرات رهيبة. بكم اخذتها من البياع؟,"بكثير. شكلي هشتغل شغل ثاني لباقي حياتي. بس تستاهل. يلا اركب، خلنا ناخذ مشوار."
حلوة سيارتك كتير,شكرا مقدمة مع انو قديمة شوي,حلوة اوي عربيتك,شكرا مقدما مع انها قديمة شوية,متى يوم ميلادك؟,قريب.
ايتما عيد ميلادك ؟,مش بعيد تقريبا بعد اسبوع,ايمتا عيد ميلادك,مش بعيد تقريبا بعد اسبوع,باسل يكبر بالسن.,"يب، أنا خايف على صحته."
جدي عم يتعب كتير هالأيام,سلامتو شو عم بصير معو ؟,جدي تعبان اوي اليومين دول,سلامته ايه الي حاصل معاه ؟,أيت كنيسة أنت تروح؟,"أنا مورموني، عشان كذا أروح كنيسة يسوع المسيح لقديسي الأيام الأخيرة."
شو عم تدرس بالجامعة ؟,هندسة كمبيوتر و مركز عالذكاء الإصطناعي,بتدرس ايه في الجامعة ؟,هندسة كمبيوتر و مركز عالذكاء الإصطناعي,"آسف على التأخير في اجتماع اليوم، علقت في الزحمة.","عادي، تصل متأخر أحسن من عدم الوصول."
عفوا عالتأخير بس عنجد كان في كتير عجقة عالطريق,ما بأسر أنا كمان علقت بهالعجقة شي مش معقول,عفوا عالتأخير بس كان في زحمة كتير في الطريق,مش مشكلة انا كمان اتزنقت في الزحمة حاجة مش معقولة,هلا! قاعد تقرا عن إيش في الجريدة؟,"أهلين! تعبت من الدراسة، عشان كذا قررت أقرا الجريدة وأسترخي. لسوء الحظ الأخبار تجيب الكآبة. كان في جريمة قتل جديدة في مركز المدينة. أنا مصدوم أنو الشرطة لسا ما قدرت تمسك القاتل."
عن شو عم تقرا بالجريدة ؟,عم شوف الأخبار الرياضية شو الوضع,بتقرا جريدة عن ايه ؟,بشوف الأخبار ايه الوضع,هلا تامر!  تبغى تروح البولينغ اليوم؟,فكرة حلوة. متى وفين المفروض نتقابل؟
تروح نلعب فوتبول الليلة ؟,اي ليش لأ كان جايي عبالي,تيجي نلعب كورة انهردة بليل ؟,اه ليه لأ كان على بالي,كم عدد التعبيرات الإصطلاحية في الإنجليزي؟, المئات والمئات. الإنجليزي لغة غنية بالتعبيرات الإصطلاحية.
بتحب اللغة اللإنجليزية ؟,طبعا بحبا كتير سهلة,بتحب اللغة اللإنجليزية ؟,طبعا بحبها سهلة اوي,ليش الأستاذ انتقد ميرا قدام الصف كله؟,عشان ميرا غشت في الامتحان. وقلت أدبها بالكلام.
شفت شي بلوزتي ؟ ضيعتها,ايه شفتك تاركا عالكرسي,شفت التشرت بتاعي ؟ ضيعتها,اه شفتك سايبها على الكرسة,تعرف مكان أركن فيه؟,تبغى مكان هنا ولا برا الحرم الجامعي؟
كيفو المعلم مشتاقين,اهلا اهلا والله بالأكتر,عامل ايه يا معلم واحشني,اهلا اهلا والله بالأكتر,سمعت عن حشرة الحب؟,"قصدك فيروس ""أنا أحبك"" اللي يهاجم أجهزة الكمبيوتر عن طريق البريد الإلكتروني؟"
عجبك الأستاذ الجديد ؟,لا شكلو مل بيعرف يشرح,عجبك الأستاذ الجديد ؟,لا شكلو مبيعرفش يشرح,أنا محتار من الكلام اللي قاله.,ليش؟
مين عمل هالشي الغبي؟,اكيد شي ولد بلا تنظيم,مين الي عمل الحاجة الغبية ديه ؟,اكيد ولد غير منظم,فين رايح؟,رايح المستشفى.
شو كيف الطقس اليوم؟,برد كتير. ضلت الدنيا تتلج طول النهار,ايه اخبار الجو انهردة ؟,برد جامد. فضلت الدنيا تتلج طول اليوم,تبغى نتقابل الغدا يوم السبت؟,معليش ما أقدر.  هكون مشغول.
ما بحب فصل الشتاء بحب فصل الصيف,انا كمان. يا ريت الدنيا صيف,مبحبش فصل الشتاء بحب فصل الصيف,انا كمان. يا ريت الدنيا صيف,الأطفال كبرو يا روز؟,"إيوة، لارا هي البنت الكبيرة. هي مبرمجة كمبيوتر."
الصبي وعدنا انو حيساعدنا,هيدا بيوعد وما بيوفي بوعدو,الولد وعدنا انو حيساعدنا,ده بيوعد و مبيوفيش,عيد كريسماس سعيد يا لمياء!,عيد كريسماس سعيد يا علي!
شو هل الصدفة السعيدة!,حبيبي عاش مين شافك!,ايه الصدفة السعيدة ديه !,حبيبي عاش مين شافك!,فين زوجتك؟,في البيت.
انا كتير فخور فيك!,شكرا عل معنويات!,انا فخورة فيك جدا!,شكرا على المعنويات!,"شوف، في كلام على السمك.","عارف أنه سمك مثير للريبة، هذا شي منتشر الأيامات ذي."
ليش ما جيت عل حفلة مبارح؟,كنت تعبان شوي ما قدرت اجي نمت,ليه ما جيتش امبارح عالحفلة ؟,كنت تعبان شوية ماقدرتش اجي نمت,مين قاعد يغني في بيتك يا جاسم؟,هذي علياء وصاحباتها.
كان في شي غريب بالطيارة مبارح,ليش؟ على ايا رحلة كنت مسافر؟,كان في حاجة غريبة في الطيارة امبارح,ليه؟ على انهي رحلة كنت مسافر؟,اتشرفنا بمقابلتك.,"نعم، أتمنى نتقابل ثاني."
يمكن المنطقة مش امان هونيك,لا ما تعتل هم اختي ساكنة هونيك,يمكن المنطقة مش امان هناك,لا متشلش هم اختي ساكنة هناك,شفت برنامج حلو على التلفزون أمس. كان عن الناس الكبار في السن.,وإيش قالو في البرنامج؟
انا عطشان كتير,حأنزل جبلك عصير,انا عطشان اوي,حنزل جبلك عصير,شفت معلومات بيع السنة اللي فات؟ مراجعة المبيعات اتعملت في مجلس الإدارة الأخير. في أخبار حلوة لمساهمينا.,"إيوة، راجعت الأرقام اليوم الصباح. أخيراً رجعنا نكسب ثاني!"
ليك ممكن هل صبية تساعدنا بأوراق المعاملة؟,"اكيد, بعرف عنا خدومة كتير",ليه ممكن البينت ديه بأوراق المعاملة ؟,"اكيد, اعرف عنها انها خدومة جدا",وجع. كنت أبغى أجرب ثقافة المافيا بشكل مباشر.,الموضوع يستاهل تمشي وتاكل أكل المافيا! تيرامسو الخمسة دولار  تحفة طبخ.
انت بشو متخصص؟,انا مهندس معماري,انت متخصص في ايه,انا مهندس معماري,أخذت أي جوائز أو تكريمات في الجامعة؟,"إيوة، أخذت منحة ثلاث مرات."
شو كيف كانت العطلة؟,الحمدلله حلوة كتير,ايه اخبار الاجازة؟,الحمدلله حلوة جدا,سيارتك الجديدة رهيبة . مرَّة عاجباني.,يلا نروح ناخد لفة.
شو بدك جبلك هدية عل عيد ميلادك؟,بدي صباط جديد إذا فيك,عايزني اجبلك ايه هدية عيد ميلادك؟,عايز كوتشي جديد لو حتقدر,هتشوف مباراة الكورة اليوم؟ هتكون أكثر مباراة حماسية في الموسم.,"طبعاً، أكيد ما هفوتها. أيت فريق أنت تشجع؟"
مبين علىى زوجك انو خدوم كتير,لا ما تشدي ايدك كتير,باين على زوجك انو خدوم جدا,لا متعشميش اوي,أخيراً وصلت عطلة نهاية الأسبوع!,وهتكون نهاية أسبوع طويلة. عندي يوم الاثنين إجازة. هيكون يوم تذكاري أو شي زي كذا.
ليش بتعتبر انو ما عندك اصحاب؟,مبلا عندي بس ما بقدر اعتمد عليهن وقت الجد,ليه بتعتبر انك معندكش اصحاب ؟,لا عندي بس مقدرش اعتمد عليهم وقت الجد,"هلا مازن، كنت أدور عليك طول الصباح.",إيش الجديد؟
ليش ما جيت عالصف مبارح؟,كان عندي التزمات برات الجامعة,ليه ماجتش عالفصل امبارح ؟,كان عندي التزمات برا الجامعة,"تدري، تامر كان في المستشفى من كم يوم.",أنا اللي دخلته هناك بحركات الكورة حقتي.
ليك المصاري بعمرا ما بتعمل سعادة,ولك بالعكس يا خيي. اكيد بتعمل سعادة!,ليه الفلوس عمرها ما بتعمل سعادة,لا بالعكس يا اخويا. اكيد بتعمل سعادة!,شفت علياء ياسر أمس؟,إيوة شفتها. وأنت؟
هيدا اشتغل خمس سنين بالبنك,اها! اكيد عندو خبرة لكن,ده اشتغل خمس سنين في البنك,اها! اكيد عندو خبرة طبعا,انتبه! شايك هيغلي.,"يليل، تقدر توقف النار؟ يدي مليانة عجين."
شو نجحت؟,ايه الحمدلله,ايه نجحت ؟,اه الحمدلله,شفت مرام اليوم؟,"إيوة، بس إيش فيها كانت زعلانة؟"
المصلحة لفتحناها ماشي حالها منيح,"عال, كم زبون عندك؟",المصلحة الي فتحناها ماشي حالها تمام,"عال, كم زبون عندك؟",ما أظن الأستاذة كان لها حق تقول كذا. الأستاذة كانت غلطانة تتهمها قدام الفصل كله.,"أنت تمزح صح؟ الأستاذة لها حق تقول أي شي تبغاه، ولو شافت ميرا تغيش فأكيد لها الحق تقول اللي قالته."
ليك شوف هالبدلة لشتريتها اليوم,يخزي العين! طالع عريس,شوف البدلة الي اشترتها انهردا,اسم الله عليك! طالع عريس,"اتفضل، مبسوطين بجيتك. كنا ننتظرك.",أنا متأخر على الحفلة؟ شكله كل الناس جو. يا رب ما أكون ضيعت شي حلو.
ليش مستعجل؟,البنك بيسكر بعد نص ساعة ولازم اصرف الشيك,ليه مستعجل ؟,البنك بيقفل بعد نص ساعة ولازم اصرف الشيك,"يا سهيل، تبغى تجي وترقص معانا اليوم؟","يحيى، صراحة ما عندي مزاج."
يلا بالأذن لازم امشي,خليك يا زلمة قاعدين,يلا بالأذن لازم امشي,خليك يا راجل قاعدين,الفرقة مرَّة كويسة. إيش رايك بالموسيقى؟,حلوة. لي فترة ما سمعت موسيقى مليانة حياة. حاجة ممتعة.
هيدا الشب ما حيطلع من امرو شي,عيب عليك تقول هيك,الشب ده مش حتطلع منه بحاجة,عيب عليك تقول كدة,أظن أكبر مشكلة بيئية في بلدي هي تلوث الهواء.,إيوة أتفق. الهوا هنا ملوث أكثر من اللي في بلدي. طبعاً عشان بلدي بلد زراعي أكثر مما هو صناعي.
الجيران صايرين كتير مزعجين!,عنجد! عم فكر اطلبلن الدرك!,الجيران بقوا مزعجين اوي !,بجد! بفكر اطلبلهم البوليس!,كان أسبوع خايس.,للأسف!
شو خبروني انك اشتريت كمبيوتر جديد,ايه شوفو محطوط عالمكتب,قالولي انك كمبيوتر جديد,اه شوفو محطوط على المكتب,أنا متحمس يا امي. مولود جديد!,حفيدي الأول.
كنت العب بفريق الفوتبول ايام المدرسة,اه والله! انا كنت بفريق الباسكت,كنت بلعب في فريق الكورة ايام المدرسة,اه والله! انا كنت في فريق السلة,متى تنام في العادة؟,في العادة أنام عشرة وأصحى ستة.
ممكن ناخد الموعد نهار الأثنين؟,"الأثنين صعبة, حطلك الموعد الثلاثاء؟",ممكن ناخد المعاد يوم الأثنين؟,"الأثنين صعب, احطلك المعاد التلات؟",حصل رحت عالم ديزني؟,"لمن كنت صغير، أهلي أخذوني لكاليفورنيا. دايماً أنسى هل هي عالم ديزني ولا أرض ديزني."
اولك الناس بعد عندا ثقة بالحكومة؟,"ما بعتقد, انت شو رأيك؟",تفتكر الناس لسة عندها ثقة في الحكومة ؟,"معتقدش, انت ايه رأيك؟",تقدر تتكلم فرنسي؟,إيوة بس مو مرَّة كويس.
ليك ممكن تعلم هالشب كيف يقرا ويكتب؟,اديه عمرو؟ وليش بعدو ما بيعرف يقرا ويكتب؟,بص ممكن تعلم الشاب ده القراية والكتابة؟,عنده كام سنة؟ وليه لسة مابيعرفش يقرا و يكتب؟,شكلك أحسن اليوم. كيف كان الاختبار؟,أحسن من امس.
عملت مشكل مع صاحبنا,اوف! مين بلش بالمشكل؟,عملت مشكلة مع صاحبنا,اوف! مين بدا في المشكلة؟,أقدر استعير أسطواناتك المدمجة عشان رقصة المدرسة؟,أنت ما تسأل كثير صح؟
سمعنا انو لقيتي وظيفة جديدة,ايه عم درس رياضيات بالمدرسة الرسمية,سمعنا انك لقيتي وظيفة جديدة,اه بدرس رياضيات في المدرسة الحكومية,تبغى تروح البحر اليوم؟,"أكيد، أي شاطئ هنروح؟"
"حاسس حالي احسن اليوم, بدك نلعب عن جديد؟",ازا حابب تخسر ايه اكيد!,"حاسس نفسي احسن انهردة, عايز تلعب من جديد؟",لو حابب تخسر اه طبعا!,اليوم في مشاكل بيئية كثيرة في العالم. تعتقد نقدر نحلها ولا هتدمر العالم؟,"أتمنى قادة العالم يتفقو على خطة مع بعض، بس ما أظن تحصل حاجة زي كذا قريب."
اتصل فيي بكرا بكير,"ماشي اكيد, ايا ساعة؟",اتصل بيا بكرة بدري,"ماشي اكيد, الساعة كام؟",منار! كيف حالك؟ لي فترة ما شفتك! كيف حالك هذي الأيام؟,دوبي فتحت مطعم. وأنا رئيسة الطباخين.
لازم جيب بنطلون جديد,"صح, لي عندك صار كتير قديم",لازم اجيب بنطلون جديد,"صح,الي عندي بقى قديم جدا","يا سوزان، أنا عازمك أنتي وفادي لحفلة بيتنا الجديد في عطلة نهاية الأسبوع.",حفلة بيتكم الجديد؟
انت مزوج؟,لا انا اعزب للأسف,انت متزوج؟,لا انا اعزب للأسف,كيف أقدر اساعدك؟,قاعد أدور على كتاب.
شو عملت بالعطلة؟,اشتغلت عمشروع الأحتباس الحراري,عملت ايه في الاجازة ؟,اشتغلت على مشروع الأحتباس الحراري,مركز ABC لتأجير السيارات. كيف اقدر اساعدك؟,ودي أأجر سيارة. إيش الأنواع اللي عندكم؟
شو بتضايق من طلعة الدرج كل يوم,بس فيك تعتبرها كأنها رياضة,قد ايه بتضايق من طلعة السلالم كل يوم,بس ممكن تعتبر أكنها رياضة,تقدر تجي معاي للحفلة اليوم؟,"أكيد، ودي أجي معاك."
شو ح تعمل لمرتك على عيد الحب؟,حاشتريلها ورد لزهرة حياتي,حتعمل ايه لمراتك في عيد الحب ؟,حاشتريلها ورد لزهرة حياتي,نشوف أيت فيلم؟,مافي شي حلو حالياً. خلينا نسوي شي ثاني. مناسب معاك أنو نروح لحفلة موسيقية؟
حبيبي كتير انبسطت بشوفتك,حبيبي انا بالأكتر,حبيبي انبسطت اوي بشوفتك,حبيبي انا أكتر,مهرجان الربيع هو أهم احتفال في الصين. صح؟,نعم صحيح.
ممكن استعير قلم رصاص؟,"اكيد اتفضل, بدك ورقة كمان؟",ممكن استلف قلم رصاص؟,"اكيد اتفضل, عايز ورقة كمان؟",أنا خلاص طفشت من انتظار الباص.,"إيوة، بالذات لو عندك حاجة مستعجل تسويها."
بعتذر بس انا صار لازم امشي,اتشرفت بمعرفتك! سوق عمهلك,بعتذر بس لازم امشي,اتشرفت بمعرفتك! سوق على مهلك,"أحس بالتعب. درجة حرراتي سيلسيوز، وعندي صداع وأنف سائل.",عندك أي أعراض ثانية؟
شو عم تعمل؟,عم احضر تلفزيون,بتعمل ايه؟,بتفرج على التلفزيون,ما عندي أدلة كافية عشان أقاضيه.,ليش ما تدور علي أي أحد يعرف أي حاجة؟
اختي حتسافر عأمريكا,ليش عم تخبرني هيدا الشي؟,اختي سافرت امريكا,ليه بقلي الحاجة ديه؟,إيش قاعدين تسوون إنتو الاثنين؟,"سمعنا أنك تعبان، فجينا نطمن عليك."
عجبك الغدا؟,ابدا! كان بقرف!,عجبك الغدا؟,ابدا! كن يقرف!,شكلك مو مبسوط. إيش في؟,مافي شي. تعبان شوي بس.
شو اكتر برنامج بتحب تحضرو عل تلفزيون؟,اكتر شي بحب احضر المسلسلات التركية,ايه اكتر برنامج بتحب تتفرج عليه في التلفزيون؟,اكتر حاجة بحب اتفرج على المسلسلات التركية,"يا آنسة أنتي غرقانة موية! واو، المطر فعلاً قوي برة. ","إيوة أكيد، كنت مضطرة أجري لهنا من الشغل. لازم استعجل عشان أنا في استراحة الغدا."
شو شكلك تعبان,ايه والله ما نمت مبارح منيح,ايه شكلك تعبان,اه والله مانمتش من امبارح كويس,أبوي إيش التاريخ اليوم؟,الثامن عشر ديسمبر
شفت حادث السير لي صار مبارح؟,"ايه شفتو, اخدو الركاب عل المستشفى و في واحد بدو عملية",شفت حدثة السواقة الي حصلت امبارح ؟,"اه شفته, اخدو الركاب على المستشفى وفي واحد محتاج عملية",إيش صار يا يحيى؟,ولا شي.
كل عام و انت بخير,وانت بخير يا قليي,كل عام و انت بخير,وانت بخير يا قليي,الرجال ذا خطيبك يا هدى؟,إيوة. إيش رايك فيه؟
شو شكلك حبيتا,ايه ما بتخيل حياتي من دونها,ايه شكلك حبيتها,ايه مش متخيل حياتي من غيرها,إيش رايك؟ اشتري هذا الحين واخذه معانا؟,"لا تتعب نفسك، هتلقى منه كثير في المكان اللي احنا رايحين له."
عرفت انو صديقي فات عالحبس,يا لطيف! شو التهمة؟,عرفت انو صحبي دخل السجن,يا لطيف! ايه التهمة؟,"بسام، أنت لسا معصب؟ أمك لسا معصبة؟",لا... أمي قالت هنسوي الزواج في البيت في اليوم الثاني من الشهر. فعشان كذا خلينا ندعو يكون كلام أمك صح أنه يوم حظ.
خسر وظيفته وكل شي بيملكو,هيك الدنيا يوم الك ويوم عليك,خسر شغله وكل املاكه,الدنيا كدة يوم ليك ويوم عليك,"العالم يتغير، العائلة تتغير كمان.",إيش تقصد؟
"لازم شوفك اليوم, عندك شي المسا؟","اليوم المسا مش فاضي, بتقدر تأجلها لبكرا؟","لازم اشوفك انهردة, عندك حاجة بليل؟","اليوم بليل مش فاضي, تقدر تأجلها لبكرا؟",إيش في؟,اختلفت آرائنا.
معك محرمة؟,ايه تفضل. شو مغرب؟,معاك منديل ؟,اه تفضل. ايه بردان؟,الإبحار ممتع؟,يب أكيد!
تروحو عل السينيما نهار الأحد بليل؟,"منشوف, بس يمكن بابا ما بيقدر يروح",تروحو عل السينيما يوم الأحد بليل؟,"حنشوف, بس ممكن بابا ما يقدرش يروح",يحيى يطلع معها سبعة مرات في الأسبوع.,من جد؟ على كذا مستقبلهم واضح.
انا مسافر برحلة حول العالم بالصيف,مستحيل! انشاالله بتتهنا,انا مسافر في رحلة حولين العالم في الصيف,مستحيل! انشاالله تتهنا,وصلني أنو صاحبي خالد بيغتابني. فعلاً خاب أملي فيه.,ما أظن أنو خالد يسوي كذا. لا تصدق أي شي بسرعة.
"طالعين على فاريا نهار الأحد, بتحب تجي معنا؟",شكرا بس عندي مشرو ع غير ما بقدر,"طالعين على فاريا يوم الحد, تحب تيجي معنا؟",شكرا بس عندي مشروع غير مقدرش,صباح الخير يا دانية.,صباح الخير يا سيد سمير.
كيف الوظيفة الجديدة؟,الحمدلله مريحة كتير,ايه اخبار الشغل الجديد ؟,الحمدلله مريحة جدا,إيش الدول اللي رحت لها؟,"رحت لأغلب الدول في أوروبا، وشوية دول في آسيا- الصين واليابان وكوريا وتايلاند، وكمان الولايات المتحدة وكندا."
"صباح الخير, كيفك اليوم؟","احسن من مبارح, بس بعدني مريض","صباخ الخير, ايه اخبارك انهردة؟","احسن من امبارح, بس لسة تعبان","علياء، عايزة زيادة؟","لا شكراً، اكتفيت."
وين حتحضر الكلاسيكو؟,ما بعتقد حأحضرها ما بحب الفوتبول,حتتفرج على الكلاسيكو فين,ماعتقدش حتفرج عليها ما بحبش الكورة,"أهلا بيك في حفلة يوم ميلادي، أنا مبسوط انك قدرت تجي.",شكراً على الدعوة. هذي هدية لك. يوم ميلاد سعيد يا فارس! أتمنى لك سنين سعيدة ومديدة!
كيف حاسس؟,موتر كتير!,حاسس بايه,متوتر جامد,"قريت خبر أنو ""أسعار العقارات في الصين ارتفعت بأسرع وتيرة في 18 شهر في ديسمبر، منهية العام بمخاوف متزايدة من حدوث فقاعات في سوق العقارات""؟","لا، هل الجريدة قالت السبب؟"
مش قادر صدق انو خسرت!,بسيطة الحظ مكان معك,مش قادر اصدق اني خسرت!,بسيطة الحظ مكنش معاك,أظن أنو نجوم العروض حياتهم سهلة مرَّة. عندهم فلوس كثير ويقدرو يشترو أي شي يبغوه. وهم مشاهير وكل الناس تحبهم.,أنا أظن حياتهم خايسة. المصورين بيصوروهم في كل مكان يروحوه وفي كل حاجة يسووها. أنا متأكد أنهم طفشو من الشي ذا.
بدك مساعدة؟,"لا شكرا, بعرف اتصرف لحالي",عايزني اساعدك؟,"لا شكرا,بعرف اتصرف لوحدي","هلا، هذي مفاجئة سارّة!","إيوة، من زمان ما تقابلنا. كيف حالك؟"
بعدك قادر تسمعني؟,ايه سامعك بس بتقدر تعيد اخر جملة؟,لسة قادر تسمعني؟,اه سامعك بس تقدر تعيد اخر جملة؟,"يا ماري، تقدري تبطلي اللي قاعدة تسوينه؟",أبطل إيش؟ ما قاعدة أسوي شي.
يا زلمة حأخوت حجن! مش قادر اتحمل بقى!,روق روق روق! الموضوع مش مستاهل,ياراجل حتجنن! مش قادر استحمل بقى!,روق روق روق! الموضوع مش مستاهل,الجو في بكين مرَّة حلو.,"الخريف هو أحسن موسم في بكين، زي ما أنت عارف."
مبين عليك انك صايبك كآبة,لا مش كآبة علقت مع جاري مبارح بس,باين عليك انك صابتك الكآبة,لا مش كآبة اتخانقت مع جاري امبارح بس,"يا محمد، تعال شوف لوحة الجمبري ذي! مرَّة بسيطة بس في نفس الوقت مرَّة حية!","يب، شي جميل. هذا عمل لتشي باكشي؟"
مين هيدا لي واقف هونيك؟,هيدا الأستاذ الجديد,مين ده الي واقف هناك؟,ده الأستاذ الجديد,"الجو خايس، صح؟","الثلج وقف، بس الجو صار أبرد."
الأستاذ لغى الأمتحان,عم تمزح! واخيرا,الأستاذ لغى الأمتحان,بتهذر! واخيرا!,"أسامة، طيب منك أنو تجي تشوفني.",على الرحب والسعة. قضيت وقت حلو في العطلة؟
بتحب نحضر شي لبكرا؟,ايه ازا الطقس منيح منقضي النهار برا,تحب نحضر حاجة لبكرا؟,اه لو الجو كويس نقضي اليوم برا,متى مواعيد شغلك؟,"من ثمانية لِاثناعشر صباحاً، من اثنين لِستة مساءً"
تروح عل مكتبة معي؟,فكرة حلوة خلينا نروح,تروح على المكتبة معايا؟,فكرة حلوة خلينا نروح,هيكون مناسب أني أروح البيت في عطلة الأسبوع الجاي؟,ليش؟
ايمتى منقدر نعزمك عل عشا؟ شو رأيك الليلة؟,الليلة صعبة شوي لأن رايح على عرس رفيقي,امتى نقدر نعزمك على العشا؟ ايه رأيك في انهردة بليل؟,انهردة صعب شوية لأني رايح على فرح صحبي,ممكن تقولي أيت جامعة أنت رحت يا سيد سمير؟,رحت لجامعة يال.
مبين في بتمك حكي,عنجد؟ هلقد مبين عليي اني مبسوط؟,باين في كلام على لسانك,بجد! للدرجة ديه باين علية اني مبسوط؟,"هلا خديجة، كيف حالك اليوم؟","بخير الحمد لله، شكراً. بس تعبانة شوية."
ايا رياضة بتحب اتابع اكتر شي؟,ما في شي محدد بحب تابع كل شي,ايه اكتر رياضة بتحب تتابعها ؟,مفيش حاجة محددة بحب اتابع كل حاجة,"أنا هحتفل بيوم ميلادي في نادي ليلي السنة ذي، إيش رايك؟","حلو! أحب النوادي، بالذات النوادي اللي فيها فرق تسوي عروض حية. العيب الوحيد أنو الهوا خايس ومليان دخان وصوت الموسيقى عالي مرَّة. عشان كذا صعب نتكلم. مرة كنت حنحرق بسيجارة."
"صباح الخير, كيف كل شي معك؟","الحمدلله تمام, شكرا عل سؤال, كيفك انت؟","صباح الخير, ايه اخبار كل حاجة معاك؟","الحمدلله تمام, شكرا على السؤال, ايه اخبارك انت؟",إيش تشتغل؟,أنا طبيب.
"يعطيك العافية, ممكن تساعدني بتدوير المكنة؟","الله يعافيك , اكيد ولو!",,"الله يعافيك, اكيد طبعا!",جميلة الحديقة! شوف الزنبق!,هتكون صورة حلوة. تقدر تاخذ صورتي هنا يا حبيبي؟ حاول تدخل الحديقة في الفريم.
"ما تخاف, خليك عم تجرب",ماشي شكرا,"متخفش, خليك بتجرب",ماشي شكرا,شفت التلفزون أمس يا علي؟,إيوة شفته.
